   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   yavotthaṃ taṇḍulodaṃ ca VAnigh_332a	yavotTam taNxulodam ca Va-aniG_332a
   yaṣṭī paruṣakaṃ hanti VAnigh_23c	yazwI paruzakam hanti VAniG_23c
   yaṣṭī madhukayaṣṭyāhvā VAnigh_29a	yazwI maDuka-yazwyAhvA VAniG_29a
   yāvako 'laktakaḥ smṛtaḥ VAnigh_297d	yAvakaH alaktakaH smRtaH VAniG_297d
   yāvanālaḥ śukapriyaḥ VAnigh_336d	yAvanAlaH SukapriyaH VAniG_336d
   yāvaśūko yavakṣāraḥ VAnigh_294c	yAvaSUkaH yavakzAraH VAniG_294c
   yāso duḥsparśakas tathā VAnigh_210b	yAsaH duHsparSakaH taTA VAniG_210b
   yuktāhvā gandhanākulī VAnigh_117d	yuktA-AhvA ganDanAkulI VAniG_117d
   yūthikā gandhanāmikā VAnigh_320b	yUTikA ganDa-nAmikA VAniG_320b
   yonidoṣaharaḥ stambhī VAnigh_114c	yoni-doza-haraH stamBI Va-aniG_114c
   yoniroganibarhaṇaḥ VAnigh_170d	yoni-roga-nibarhaNaH VAniG_170d
   yoniḥ syād dṛḍhadhātukaḥ VAnigh_373b	yoniH syAt dRXaDAtukaH VAniG_373b
   raktacitras tathānyas tu VAnigh_76c	raktacitraH taTA-anyaH tu Va-aniG_76c
   raktapādī śamīpattrā VAnigh_280c	raktapAdI SamIpattrA Va-aniG_280c
   raktapāṣāṇako dhātuḥ VAnigh_287a	raktapAzANakaH DAtuH VAniG_287a
   raktapuṣpī jayā rudrā- VAnigh_318c	raktapuzpI jayA rudrA VAniG_318c
   raktabinducchadā tathā VAnigh_253d	rakta-binducCadA taTA VAniG_253d
   raktabindus tilacchadaḥ VAnigh_233d	raktabinduH tilacCadaH VAniG_233d
   raktabījaphalāhvayam VAnigh_54d	rakta-bIja-Pala-Ahvayam VAniG_54d
   raktaṃ śoṇaṃ māṃsakaraṃ VAnigh_373c	raktam SoNam mAMsa-karam Va-aniG_373c
   raktikā kākaṇantikā VAnigh_224b	raktikA kAkaNantikA VAniG_224b
   raktairaṇḍo dvitīyas tu VAnigh_7a	raktEraNxaH dvitIyaH tu Va-aniG_7a
   raktotpalasugandhike VAnigh_61b	raktotpala-suganDike VAniG_61b
   rakṣatāṃ devabhiṣajau VAnigh_408c	rakzatAm deva-BizajO Va-aniG_408c
   rakṣoghnaḥ śvetasarṣapaḥ VAnigh_38b	rakzaH-GnaH SvetasarzapaH VAniG_38b
   rajaḥ parāgaṃ kiñjalkaṃ VAnigh_158a	rajaH parAgam kiQjalkam Va-aniG_158a
   rathadruḥ sarvasādhakaḥ VAnigh_81d	raTadruH sarva-sADakaH VAniG_81d
   rambhā tu kadalī mocā VAnigh_118c	ramBA tu kadalI mocA Va-aniG_118c
   rambhā tu kadalī mocā VAnigh_270a	ramBA tu kadalI mocA Va-aniG_270a
   ravibhaktā suvarcalā VAnigh_112d	ravi-BaktA suvarcalAH VAniG_112d
   rasabhūḥ carmarañjanam VAnigh_292b	rasa-BUH carmaraQjanam VAniG_292b
   rasāmlaṃ śuktakāñjikam VAnigh_332b	rasAmlam Sukta-kAQjikam VAniG_332b
   rasāladruḥ sahakāraḥ VAnigh_175a	rasAladruH sahakAraH VAniG_175a
   rasendraś capalaḥ sūto VAnigh_290a	rasendraH capalaH sUtaH VAniG_290a
   raso niryāsarālakau VAnigh_87d	rasaH niryAsa-rAlakO VAniG_87d
   rasono laśuno jñeyaḥ VAnigh_265c	rasonaH laSunaH jQeyaH VAniG_265c
   rājakośātakī smṛtā VAnigh_240d	rAjakoSAtakI smRtAH VAniG_240d
   rājakṣavaḥ pītapuṣpaḥ VAnigh_134c	rAjakzavaH pItapuzpaH VAniG_134c
   rājaputrī hareṇukā VAnigh_36d	rAja-putrI hareNukA VAniG_36d
   rājamānyo 'mṛtāphalaḥ VAnigh_64d	rAjamAnyaH amRtAPalaH VAniG_64d
   rājamāṣo 'lasāndraḥ syāt VAnigh_339c	rAjamAzaH alasAndraH syAt Va-aniG_339c
   rājādanaṃ kṣīraśuklaṃ VAnigh_54a	rAjAdanam kzIraSuklam Va-aniG_54a
   rājāhvaṃ dāḍimaṃ śākaṃ VAnigh_48c	rAjAhvam dAximam SAkam Va-aniG_48c
   rājāhvaṃ vānarapriyam VAnigh_54b	rAjAhvam vAnara-priyam VAniG_54b
   rājikā piṇḍavatphalā VAnigh_276d	rAjikA piNxa-vat-PalAH VAniG_276d
   rāmaṭhaṃ bhūtanāśanam VAnigh_100d	rAmaWam BUta-nASanam VAniG_100d
   rāmānyācchādanaphalā VAnigh_208a	rAmAni-AcCAdana-PalAH VAniG_208a
   rāmāhvārkalatārāmā VAnigh_235c	rAma-AhvA-arka-latA-rAmA VAniG_235c
   rālas tu devadhūpaḥ syāt VAnigh_190a	rAlaH tu devaDUpaH syAt VAniG_190a
   rītikā pittalaṃ pūti VAnigh_307a	rItikA pittalam pUti VAniG_307a
   rugyogyo vyāghraparṇyapi VAnigh_285d	ruj-yogyaH vyAGraparNI-api VA-niG_285d
   rujākaras tv ārtagalo VAnigh_97a	rujAkaraH tu Arta-galaH Va-aniG_97a
   rudraretā mahārasaḥ VAnigh_289d	rudra-retAH mahArasaH VAniG_289d
   ruhā kāṇḍodbhavāmṛtā VAnigh_45d	ruhA kANxa-udBava-amRtA VAniG_45d
   rūpikā tāmrapuṣpikā VAnigh_318b	rUpikA tAmrapuzpikA VAniG_318b
   rūpyakaṃ rajataṃ tāraṃ VAnigh_305a	rUpyakam rajatam tAram VAniG_305a
   rūpyo haritatumbilī VAnigh_279d	rUpyaH harita-tumbilI VAniG_279d
   recano raktacūrṇakaḥ VAnigh_200b	recanaH rakta-cUrNakaH VAniG_200b
   reṇukā kāntanāmikā VAnigh_182b	reNukA kAnta-nAmikA VAniG_182b
   reto vīryāntyadhātuke VAnigh_376b	retaH vIrya-antya-DAtuke VAniG_376b
   rogajño jīvano vidvān VAnigh_406c	roga-jQaH jIvanaH vidvAn VAniG_406c
   rogahāro 'gadaṃkāro VAnigh_406a	roga-hAraH agadaMkAraH Va-aniG_406a
   rodho brahmataruḥ paṭuḥ VAnigh_86d	roDaH brahmataruH pawuH VA-niG_86d
   rodhraśābarakarodhrapalāśāḥ VAnigh_113a	roDra-SAbaraka-roDra-palASAH VAniG_113a
   rodhraṃ dhātakibilvapeśike VAnigh_155c	roDram DAtaki-bilva-peSike VAniG_155c
   romaśaṃ chadanaṃ pattraṃ VAnigh_185a	romaSam Cadanam pattram Va-aniG_185a
   romaśā camarī smṛtā VAnigh_348d	romaSA camarI smRtAH VAniG_348d
   roṣajo dhanvanacchadaḥ VAnigh_29d	roza-jaH DanvanacCadaH VAniG_29d
   rohiṇī kaṭurohiṇī VAnigh_167d	rohiNI kawurohiNI VAniG_167d
   rohiṇī khaṭvalā proktā VAnigh_52a	rohiNI KawvalA proktA Va-aniG_52a
   rauhiṇeyo budho dvijaḥ VAnigh_388b	rOhiNeyaH buDaH dvijaH VAniG_388b
   lakṣmaṇā putrajananī VAnigh_253c	lakzmaNA putra-jananI VAniG_253c
   lakṣmī padmālayā padmā VAnigh_400a	lakzmI padmAlayA padmA Va-aniG_400a
   lajjā lohitayaṣṭikā VAnigh_280d	lajjA lohita-yazwikAH VAniG_280d
   latākastūrikā rālī VAnigh_298c	latAkastUrikA rAlI VAniG_298c
   lambaromā makṣikā ca VAnigh_369a	lambaromA makzikA ca Va-aniG_369a
   lambā piṇḍaphalekṣvākuḥ VAnigh_259a	lambA piNxaPala-ikzvAkuH VAniG_259a
   'larko vikaraṇaḥ smṛtaḥ VAnigh_123d	alarkaH vikaraNaH smRtaH VAniG_123d
   lavaṇaṃ paṭunāmakam VAnigh_294b	lavaNam pawu-nAmakam VAniG_294b
   lavaṃgaṃ devakusumaṃ VAnigh_301c	lavaMgam devakusumam Va-aniG_301c
   lākṣā dīptir drumavyādhiḥ VAnigh_297a	lAkzA dIptiH druma-vyADiH VAniG_297a
   lāmbur ikṣvākusaṃjñikā VAnigh_241d	lAmbuH ikzvAku-saMjQikA VAniG_241d
   likuco lakuco ḍahuḥ VAnigh_273d	likucaH lakucaH xahuH VAniG_273d
   likhikā bhaktikā bhūrī VAnigh_228c	liKikA BaktikA BUrI Va-aniG_228c
   luṅgaś ca phalapūrakaḥ VAnigh_271d	luFgaH ca PalapUrakaH VAniG_271d
   lulāyo mahiṣo vāha- VAnigh_371a	lulAyaH mahizaH vAha Va-aniG_371a
   lelihas tālapattrakaḥ VAnigh_312b	lelihaH tAlapattrakaH VAniG_312b
   lelihāno dandaśūko VAnigh_362a	lelihAnaH dandaSUkaH VAniG_362a
   lodhrādau tilvako lodhras VAnigh_115a	loDra-AdO tilvakaH loDraH VA-aniG_115a
   lomaśā ca prakīrtitā VAnigh_256d	lomaSA ca prakIrtitAH VAniG_256d
   lohakāntamayaskāntaṃ VAnigh_310c	loha-kAntam-ayaskAntam Va-aniG_310c
   lohanāmāgaruḥ smṛtaḥ VAnigh_87b	loha-nAmA-agaruH smRtaH VAniG_87b
   lohitaṃ raktacandanam VAnigh_28d	lohitam raktacandanam VAniG_28d
   lohitāṅgaḥ pipīlakaḥ VAnigh_366d	lohita-aFgaH pipIlakaH VAniG_366d
   vakraśalyā kṛṣṇaphalā VAnigh_178a	vakraSalyA kRzNaPalA VAniG_178a
   vacājaladadevāhva- VAnigh_149a	vacA-jalada-devAhva VAniG_149a
   vacādau prāg vacā proktā VAnigh_151a	vacA-AdO prAk vacA proktAH VAniG_151a
   vacāharidrādigaṇāv VAnigh_150a	vacA-haridrA-Adi-gaNO VAniG_150a
   vacogragandhā jaṭilā VAnigh_148a	vacA-ugraganDA jawilA VAniG_148a
   vajravallī tu śṛṅkhalā VAnigh_254d	vajravallI tu SRFKalA VAniG_254d
   vaṭhiñjarakuṭherakau VAnigh_132d	vaWiQjara-kuWerakO VAniG_132d
   vatsakamūrvābhārṅgīkaṭukā marīcaṃ ghuṇapriyā ca gaṇḍīram VAnigh_143/a	vatsaka-mUrvA-BArFgI-kawukA marIcam GuNapriyA ca gaNxIram VAniG_143/a
   vatsakaḥ kuṭajas tathā VAnigh_145d	vatsakaH kuwajaH taTA VAniG_145d
   vatsakaḥ kauṭajaṃ phalam VAnigh_71b	vatsakaH kOwajam Palam VAniG_71b
   vatsadantī mahāśṛṅgī VAnigh_312a	vatsadantI mahASRFgI Va-aniG_312a
   vatsanābho halāhalaḥ VAnigh_311d	vatsanABaH halAhalaH VAniG_311d
   vatsādanī sudaśākhyā VAnigh_252c	vatsAdanI sudaSA-AKyA Va-aniG_252c
   vanatikto vatsakādau VAnigh_145a	vanatiktaH vatsakAdO Va-aniG_145a
   vanapriyaḥ parabhṛtaḥ VAnigh_357c	vanapriyaH paraBRtaH VAniG_357c
   vanaukāḥ phalabhakṣakaḥ VAnigh_350d	vanOkAH PalaBakzakaH VAniG_350d
   vandākaḥ kāmavṛkṣakaḥ VAnigh_109b	vandAkaH kAmavRkzakaH VAniG_109b
   vandhyā karkoṭakī tathā VAnigh_128b	vanDyA karkowakI taTA VAniG_128b
   vanyakandaś ca śūraṇaḥ VAnigh_280b	vanyakandaH ca SUraNaH VAniG_280b
   vanyastu gavayo jñeyaḥ VAnigh_371c	vanyaH-tu gavayaH jQeyaH VAniG_371c
   varadāruḥ kharacchadaḥ VAnigh_55d	varadAruH KaracCadaH VAniG_55d
   varāṅgaṃ carmanāmā ca VAnigh_184c	varAFgam carma-nAmA ca Va-aniG_184c
   varāmlas tv amlavetasaḥ VAnigh_222b	varAmlaH tu amlavetasaH VAniG_222b
   varā lomaśamūlikā VAnigh_152d	varA lomaSamUlikA VAniG_152d
   varā śreṣṭhā tathottamā VAnigh_341b	varA SrezWA taTA-uttamA VAniG_341b
   varāhaḥ śūkaraḥ kīṭī VAnigh_349a	varAhaH SUkaraH kIwI VAniG_349a
   varuṇasairyakayugmaśatāvarī- VAnigh_90a	varuNa-sEryaka-yugma-SatAvarI VAniG_90a
   varuṇādiḥ kaphaṃ medo VAnigh_91a	varuNa-AdiH kaPam medaH VAniG_91a
   varuṇādau śvetapuṣpo VAnigh_92a	varuNa-AdO SvetapuzpaH Va-aniG_92a
   varuṇo munibhikṣitaḥ VAnigh_333d	varuNaH muniBikzitaH VAniG_333d
   varuṇo varaṇaḥ smṛtaḥ VAnigh_92b	varuNaH varaNaH smRtaH VAniG_92b
   varottamā ca triphalā VAnigh_49c	vara-uttamA ca triPalA Va-aniG_49c
   vargo vīratarādyo 'yaṃ VAnigh_104a	vargaH vIratarAdyaH ayam Va-aniG_104a
   varṇaprasādanaḥ kaṇḍū- VAnigh_180c	varNa-prasAdanaH kaNxU Va-aniG_180c
   varṇyo viṣavināśanaḥ VAnigh_114d	varNyaH viza-vinASanaH VAniG_114d
   varṣābhūḥ dīrghapattrā ca VAnigh_9a	varzABUH dIrGapattrA ca Va-aniG_9a
   vallījaṃ yavaneṣṭaṃ syān VAnigh_39a	vallIjam yavanezwam syAt Va-aniG_39a
   vallīpalāśikā kṣīra- VAnigh_5c	vallI-palASikA kzIra VAniG_5c
   vallī matsyārjakaḥ smṛtaḥ VAnigh_254b	vallI matsya-ArjakaH smRtaH VAniG_254b
   vasantadūtī mākandā VAnigh_174c	vasantadUtI mAkandAH Va-aniG_174c
   vasā medaḥsamudbhavā VAnigh_374d	vasA medaH-samudBavAH VAniG_374d
   vasukaḥ sthūlapuṣpaś ca VAnigh_105c	vasukaH sTUlapuzpaH ca Va-aniG_105c
   vasudhorvyacalā smṛtā VAnigh_381b	vasuDA-urvI-acalA smRtA VAniG_381b
   vasuvṛkṣas tu dhanvanaḥ VAnigh_221d	vasuvRkzaH tu DanvanaH VAniG_221d
   vahniparyāyavācakaḥ VAnigh_76b	vahni-paryAya-vAcakaH VAniG_76b
   vaṃśākhyā vaṃśarocanā VAnigh_44d	vaMSa-AKyA vaMSa-rocanA VAniG_44d
   vaṃśo veṇur yavaphalaḥ VAnigh_215c	vaMSaH veNuH yavaPalaH VAniG_215c
   vāṭyā kārpāsasaṃjñakā VAnigh_208b	vAwyA kArpAsa-saMjQakAH VAniG_208b
   vāṭyā bhadraudanī balā VAnigh_206d	vAwyA BadrOdanI balAH VAniG_206d
   vāṭyāyanī tv atibalā VAnigh_207c	vAwyAyanI tu atibalAH Va-aniG_207c
   vāṭyālakaḥ pītapuṣpo VAnigh_206c	vAwyAlakaH pItapuzpaH Va-aniG_206c
   vātāriḥ śvetapuṣpikā VAnigh_284d	vAtAriH SvetapuzpikA VAniG_284d
   vānaprastho madhudrumaḥ VAnigh_26d	vAnaprasTaH maDudrumaH VAniG_26d
   vāpyaṃ kuṣṭhaṃ gadāhvayam VAnigh_168d	vApyam kuzWam gadA-Ahvayam VAniG_168d
   vāpyāhvaṃ pauṣkaraṃ śūla- VAnigh_231c	vA-api-Ahvam pOzkaram SUla Va-aniG_231c
   vāmadevo mahādevo VAnigh_394a	vAmadevaH mahAdevaH VAniG_394a
   vāmanaṃ tutthameva tu VAnigh_291d	vAmanam tutTam-eva tu VA-niG_291d
   vāraṇas taralī kumbhi- VAnigh_216c	vAraNaH taralI kumBi Va-aniG_216c
   vārāhī vanamālikā VAnigh_226d	vArAhI vanamAlikA VAniG_226d
   vāruṇo vṛkṣadhūmakaḥ VAnigh_268b	vAruNaH vRkzaDUmakaH VAniG_268b
   vārttākī hiṅgulī siṃhī VAnigh_20a	vArttAkI hiFgulI siMhI Va-aniG_20a
   vārttālohaṃ vartalohaṃ VAnigh_308c	vArttAloham vartaloham Va-aniG_308c
   vālukā sikatā smṛtā VAnigh_310b	vAlukA sikatA smRtA VAniG_310b
   vāsantaḥ kṛṣṇamudgastu VAnigh_337a	vAsantaH kRzNa-mudgaH-tu Va-aniG_337a
   vāhlīkaṃ ghusṛṇaṃ varam VAnigh_188d	vAhlIkam GusRNam varam VAniG_188d
   vikasas tu kaṭhillakaḥ VAnigh_9b	vikasaH tu kaWillakaH VAniG_9b
   vijñeyaś carmapathikaḥ VAnigh_356a	vijQeyaH carmapaTikaH Va-aniG_356a
   vijñeyaḥ khapuras tathā VAnigh_190d	vijQeyaH KapuraH taTA VAniG_190d
   vijñeyā gandhamūṣikā VAnigh_364d	vijQeyA ganDamUzikA VAniG_364d
   vijñeyo vyāghranāmakaḥ VAnigh_187d	vijQeyaH vyAGra-nAmakaH VAniG_187d
   viṭapaḥ śikharaṃ śiraḥ VAnigh_401d	viwapaH SiKaram SiraH VAniG_401d
   viḍaṅgaṃ kṛmijid balyaṃ VAnigh_133a	vixaFgam kRmijit balyam Va-aniG_133a
   viḍaṃ tu kṛtrimaṃ proktaṃ VAnigh_293c	vixam tu kRtrimam proktam Va-aniG_293c
   vitunnaṃ paripelavam VAnigh_120b	vitunnam paripelavam VAniG_120b
   vidārigandhāṃśumatī VAnigh_18a	vidAriganDA-aMSumatI VAniG_18a
   vidārī gajavājīṣṭā VAnigh_4a	vidArI gaja-vAjIzwA Va-aniG_4a
   vidārīpañcāṅgulavṛścikālī- VAnigh_2a	vidArI-paQcAFgula-vRScikAlI VAniG_2a
   vidārī śreṣṭhakandakaḥ VAnigh_5d	vidArI SrezWakandakaH VAniG_5d
   vidāryādir ayaṃ hṛdyo VAnigh_3a	vidArI-AdiH ayam hRdyaH Va-aniG_3a
   vidulo vetaso 'paraḥ VAnigh_175d	vidulaH vetasaH aparaH VAniG_175d
   vidrumaṃ ca prakīrtitam VAnigh_304d	vidrumam ca prakIrtitam VAniG_304d
   vidhuḥ sudhāṃśuḥ śubhrāṃśur VAnigh_386c	viDuH suDAMSuH SuBrAMSuH VAniG_386c
   vinītaḥ kulapattrakaḥ VAnigh_322b	vinItaH kulapattrakaH VAniG_322b
   vindhyajāto vibhītakaḥ VAnigh_51b	vinDya-jAtaH viBItakaH VAniG_51b
   vipulā sāgarāmbarā VAnigh_382b	vipulA sAgara-ambarA VAniG_382b
   viprakīrṇāny ataḥ param VAnigh_202d	viprakIrNAni atas param VAniG_202d
   vibudhas tīkṣṇasārakaḥ VAnigh_231b	vibuDaH tIkzNa-sArakaH VAniG_231b
   vibhāvasur grahapatis VAnigh_385c	viBAvasuH graha-patiH Va-aniG_385c
   viralā gṛdhranakhy api VAnigh_178b	viralA gRDra-naKI api VAniG_178b
   virūpākṣastrilocanaḥ VAnigh_394b	virUpAkzaH-trilocanaH VAniG_394b
   viśalyā sarpadaṃṣṭrikā VAnigh_8b	viSalyA sarpa-daMzwrikA VAniG_8b
   viśalyā halinī vahmi- VAnigh_124c	viSalyA halinI vahmi Va-aniG_124c
   viśākho maṇḍalacchadaḥ VAnigh_9d	viSAKaH maNxalacCadaH VAniG_9d
   viśālā ca viśalyā ca VAnigh_198a	viSAlA ca viSalyA ca Va-aniG_198a
   viśikhā nāhikā smṛtā VAnigh_195d	viSiKA nAhikA smRtAH VAniG_195d
   viśeṣād vraṇaśodhanaḥ VAnigh_122d	viSezAt vraNa-SoDanaH VAniG_122d
   viśvadevā jhaṣā kālā VAnigh_11a	viSva-devA JazA kAlAH Va-aniG_11a
   viśvambharā rasānantā VAnigh_381c	viSvamBarA rasa-anantA VAniG_381c
   viśvarūpā rūpyagaṇḍā VAnigh_279c	viSva-rUpA rUpya-gaNxA Va-aniG_279c
   viṣamuṣṭiś ca karkoṭī VAnigh_138a	vizamuzwiH ca karkowI Va-aniG_138a
   viṣaṃ ca mūlakaṃ śṛṅgī VAnigh_312c	vizam ca mUlakam SRFgI VAniG_312c
   viṣaṃ vamim arocakaṃ kāmalām VAnigh_63d	vizam vamim arocakam kAmalAm VAniG_63d
   viṣaṃ viniyacchati VAnigh_180b	vizam viniyacCati VAniG_180b
   viṣāntardāhapittanut VAnigh_56d	viza-antardAha-pitta-nud VAniG_56d
   viṣṇukrāntā nīlapuṣpī VAnigh_206a	vizNukrAntA nIlapuzpI VAniG_206a
   viṣṇur nārāyaṇaḥ kṛṣṇo VAnigh_398a	vizNuH nArAyaNaH kRzNaH Va-aniG_398a
   viṣvakseno janārdanaḥ VAnigh_399b	vizvaksenaH janArdanaH VAniG_399b
   visphūrjanī vikaraṇī VAnigh_177a	visPUrjanI vikaraNI Va-aniG_177a
   vīraṇyābhayalāmajja- VAnigh_24c	vIraNi-ABaya-lA-majja VAniG_24c
   vīraṃ vīraṇamūlaṃ ca VAnigh_25a	vIram vIraNa-mUlam ca Va-aniG_25a
   vūṣako rucakāhvayaḥ VAnigh_99b	vUzakaH rucaka-AhvayaH VAniG_99b
   vṛkaś ca dūṣakaḥ smṛtaḥ VAnigh_364b	vRkaH ca dUzakaH smRtaH VAniG_364b
   vṛkṣakaḥ śakravṛkṣaś ca VAnigh_145c	vRkzakaH SakravRkzaH ca Va-aniG_145c
   vṛkṣādanī tu śikharo VAnigh_109a	vRkzAdanI tu SiKaraH VAniG_109a
   vṛkṣādanīnalakuśādvayaguṇṭhagundrā- VAnigh_103c	vRkzAdanI-nala-kuSA-dvaya-guNWa-gundrA VAniG_103c
   vṛttatuṇḍā kākatiktā VAnigh_72a	vRttatuNxA kAka-tiktA VAniG_72a
   vṛttapuṣpāṃśumatphalā VAnigh_118d	vRtta-puzpa-aMSumat-PalA VAniG_118d
   vṛttapuṣpāṃśumatphalā VAnigh_270b	vRtta-puzpa-aMSumat-PalA VAniG_270b
   vṛddhis tu śrāvaṇī puṣṭiḥ VAnigh_44a	vRdDiH tu SrAvaNI puzwiH VAniG_44a
   vṛścikāly uṣṭradhūmakaḥ VAnigh_7d	vRScikAlI uzwra-DUmakaH VAniG_7d
   vṛścīvadevāhvayaśūrpaparṇyaḥ VAnigh_2b	vRScIvat-evAhvaya-SUrpaparNyaH VAniG_2b
   vṛścīvaḥ śvetamūlakaḥ VAnigh_8d	vRScIvaH SvetamUlakaH VAniG_8d
   vṛṣakarṇyākhukarṇī ca VAnigh_134a	vRzakarNI-AKukarNI ca Va-aniG_134a
   vṛṣakaś cāṭarūṣakaḥ VAnigh_106b	vRzakaH ca-AwarUzakaH VAniG_106b
   vṛṣagandhekṣugandhikā VAnigh_4b	vRzaganDA-ikzuganDikA VAniG_4b
   vṛṣadaṃśaka ākhubhuk VAnigh_366b	vRzadaMSakaH AKuBuj VAniG_366b
   vṛṣāṇī vṛṣabho vṛṣaḥ VAnigh_16d	vRzANI vRzaBaH vRzaH VAniG_16d
   vṛṣo vāsāṭarūṣakaḥ VAnigh_214d	vRzaH vAsA-AwarUzakaH VAniG_214d
   vṛṣyabījā galekaṇḍū- VAnigh_13c	vRzya-bIjAH galekaNxU Va-aniG_13c
   vegā kaṅguṇikā smṛtā VAnigh_126d	vegA kaFguNikA smRtAH VAniG_126d
   vegā kākāṇḍakī tathā VAnigh_126b	vegA kAkANxakI taTA VAniG_126b
   veṇī jīmūtakaḥ smṛtaḥ VAnigh_240b	veNI jImUtakaH smRtaH VAniG_240b
   veṇupatrī vṛṣā pārvī VAnigh_106c	veNupatrI vRzA pArvI VAniG_106c
   vellantarāraṇikabūkavṛṣāśmabheda- VAnigh_103a	vellantara-AraNika-bUka-vRza-aSma-Beda VAniG_103a
   vellantaro vīratarur VAnigh_105a	vellantaraH vIrataruH VAniG_105a
   vaikuṇṭho viṣṭaraśravāḥ VAnigh_398b	vEkuNWaH vizwaraSravAH VAniG_398b
   vaigandho gandhako baliḥ VAnigh_288b	vEganDaH ganDakaH baliH VAniG_288b
   vaidehī capalā kaṇā VAnigh_31b	vEdehI capalA kaNA VAniG_31b
   vaidyaputrān svarociṣā VAnigh_408d	vEdya-putrAn sva-rocizA VAniG_408d
   volo vṛddhaḥ kulahalo VAnigh_137c	volaH vRdDaH kulahalaH VAniG_137c
   vyāghrapādaḥ sruvataruḥ VAnigh_72c	vyAGrapAdaH sruvataruH VAniG_72c
   vyāghraḥ syāt puṇḍarīkaḥ (?) VAnigh_346b	vyAGraH syAt puNxarIkaH (?) VAniG_346b
   vyāghrāṭaḥ khañjarīṭakaḥ VAnigh_356d	vyAGrAwaH KaQjarIwakaH VAniG_356d
   vyāghrī nidigdhikā kṣudrā VAnigh_19a	vyAGrI nidigDikA kzudrAH VAniG_19a
   vyāghro vyāghratalopamaḥ VAnigh_7b	vyAGraH vyAGra-tala-upamaH VAniG_7b
   vyomakeśo bhavo bhīmaḥ VAnigh_396a	vyomakeSaH BavaH BImaH VAniG_396a
   vraṇānām api ropaṇau VAnigh_156d	vraNAnAm api ropaNO VAniG_156d
   śakaṭākṣo marūdbhavaḥ VAnigh_88b	SakawAkzaH marUdBavaH VAniG_88b
   śakuntamunibhojanam VAnigh_334b	Sakuntamuni-Bojanam VAniG_334b
   śaṅkhako mātṛgehakaḥ VAnigh_358d	SaFKakaH mAtR-gehakaH VAniG_358d
   śaṅkhāvartā śaṅkhapuṣpī VAnigh_195c	SaFKa-AvartA SaFKapuzpI Va-aniG_195c
   śaṅkhinī tiktalā vakrī VAnigh_195a	SaFKinI tiktalA vakrI Va-aniG_195a
   śaṅkho vāribhavaḥ kambuḥ VAnigh_304a	SaFKaH vAriBavaH kambuH VAniG_304a
   śaṭālavṛkṣo bilvo 'strī VAnigh_92c	SawAlavRkzaH bilvaH astrI Va-aniG_92c
   śaṭī somasamudbhavā VAnigh_184b	SawI soma-samudBavA VAniG_184b
   śaṇapuṣpī bṛhatpuṣpī VAnigh_245a	SaNapuzpI bRhat-puzpI Va-aniG_245a
   śaṇaḥ ghaṇṭaśaṇaḥ smṛtaḥ VAnigh_245b	SaNaH GaNwa-SaNaH smRtaH VAniG_245b
   śatapattraṃ kuśeśayam VAnigh_314b	Satapattram kuSeSayam VAniG_314b
   śatapāt saraṭā cakrī VAnigh_363a	SatapAd sarawA cakrI Va-aniG_363a
   śatapuṣpā śatacchattrā VAnigh_266a	SatapuzpA SatacCattrA VAniG_266a
   śatamūlī śatāvarī VAnigh_14d	SatamUlI SatAvarI VAniG_14d
   śaniḥ paṅguḥ sūryaputraḥ VAnigh_389a	Sanis paFguH sUryaputraH VAniG_389a
   śamī lakṣmī ca keśanut VAnigh_203b	SamI lakzmI ca keSa-nud VAniG_203b
   śambūko vṛttaśaṅkhaś ca VAnigh_358c	SambUkaH vRttaSaFKaH ca Va-aniG_358c
   śambhur īśaḥ paśupatiḥ VAnigh_391c	SamBuH ISaH paSupatiH Va-aniG_391c
   śamyākaś caturaṅgulaḥ VAnigh_70b	SamyAkaH catur-aFgulaH VAniG_70b
   śarapuṅkhā bāṇapuṅkhā VAnigh_284a	SarapuFKA bANa-puFKAH VAniG_284a
   śarī tu suvratā jñeyā VAnigh_232a	SarI tu suvratA jQeyAH VAniG_232a
   śarekṣukusumau bāṇaḥ VAnigh_108a	Sara-ikzu-kusumO bANaH VAniG_108a
   śalyakaiḍaryavṛkṣaḥ syāc VAnigh_78a	Salya-kExaryavRkzaH syAt Va-aniG_78a
   śalyaparṇī maṇicchidrā VAnigh_46c	SalyaparNI maNi=-CidrAH Va-aniG_46c
   śaśipriyaṃ ca gandhāḍhyaṃ VAnigh_315a	SaSipriyam ca ganDa-AXyam Va-aniG_315a
   śaśī candro niśākaraḥ VAnigh_386b	SaSI candraH niSAkaraH VAniG_386b
   śasyasaṃvaraṇaḥ śūraḥ VAnigh_89c	Sasya-saMvaraNaH SUraH Va-aniG_89c
   śaṃkaraś candraśekharaḥ VAnigh_392b	SaMkaraH candraSeKaraH VAniG_392b
   śākarājo bhūtavāso VAnigh_213c	SAkarAjaH BUta-vAsaH VAniG_213c
   śākaśreṣṭhā sumaṅgalā VAnigh_15d	SAkaSrezWA sumaFgalAH VAniG_15d
   śākhāmṛgavalīmukhāḥ VAnigh_350b	SAKAmRga-valImuKAH VAniG_350b
