   1.04.016 S-IT-i ca	1.04.016 S-IT-i ca
   1.04.017 sḥ=ādiṣu=a-sarvanamasthāne	1.04.017 sH=Adizu=a--sarva-nama-sTAne
   1.04.018 y-aCi BHAm	1.04.018 y-aCi BHAm
   1.04.019 ta-sau matU=arthe	1.04.019 ta-sO matU=arTe
   1.04.020 ayasmaya=ādīni chandasi	1.04.020 ayasmaya-=AdIni Candasi
   1.04.021 bahuṣu bahu-vacanam	1.04.021 bahuzu bahu-vacanam
   1.04.022 dvi=ekayor dvi-vacana=eka-vacane	1.04.022 dvi-=ekayoH dvi-vacana-=eka-vacane
   1.04.023 kārake	1.04.023 kArake
   1.04.024 dhruvam apāye=apādānam	1.04.024 Druvam apAye=a-pAdAnam
   1.04.025 bhī-trā-arthānām bhaya-hetuḥ	1.04.025 BI-trA-arTAnAm Baya-hetuH
   1.04.026 parā-jer a-soḍhaḥ	1.04.026 para-a-jeH a-soXaH
   1.04.027 vāraṇa=arthānām īpsitaḥ	1.04.027 vAraNa=arTAnAm IpsitaH
   1.04.028 antardhau yena a-darśanam icchati	1.04.028 antarDO yena a-darSanam icCati
   1.04.029 ākhyātā=upayoge	1.04.029 AKyAtA=-upayoge
   1.04.030 jani-kartuḥ prakṛtiḥ	1.04.030 jani-kartuH prakRtiH
   1.04.031 bhuvaḥ prabhavaḥ	1.04.031 BuvaH praBavaH
   1.04.032 karmaṇā yam abhi-praiti sa sampradānam	1.04.032 karmaNA yam aBi-prEti sa sampradAnam
   1.04.033 ruci=arthānām prīyamāṇaḥ	1.04.033 ruci=arTAnAm prIyamANaH
   1.04.034 ślāgha-hnuṄ-sthā-śapām jñīpsyamānaḥ	1.04.034 SlAGa--hnuṄ--sTA--SapAm jQIpsyamAnaH
   1.04.035 dhārer uttamarṇaḥ	1.04.035 DAreH uttamarNaH
   1.04.036 spṛher īpsitaḥ	1.04.036 spRheH IpsitaH
   1.04.037 krudhḥ-druhḥ-īrṣyḥ=asūyān ām	1.04.037 kruDH--druhH--IrzyH-=asUyAn Am
   1.04.038 krudhḥ-druhor upasṛṣṭayoḥ karma	1.04.038 kruDH--druhoH upasRzwayoH karma
   1.04.039 rādh-īkṣyor yasya vipraśnaḥ	1.04.039 rAD-IkzyoH yasya vipraSnaH
   1.04.040 prati=āṄbhyāṃ śruvaḥ pūrvasya kartā	1.04.040 prati=AṄByAm SruvaH pUrvasya kartA
   1.04.041 anu-prati-gṛṇaś ca	1.04.041 anu-prati-gRNaH ca
